Title;Authors;Venue;Year;Library;I1;I2;I3;I4;I5;I6;E1;E2;E3;E4;Included
Re-engineering IoT systems through ACOSO-Meth: The IETF CoRE based agent framework case study;Savaglio C., Leppänen T., Russo W., Riekki J., Fortino G.;CEUR Workshop Proceedings;2018;SCOPUS;N;;;;;;;;;;
RE-STORM: mapping the decision-making problem and non-functional requirements trade-off to partially observable markov decision processes;Luis H. Garcia Paucar and Nelly  Bencomo;SEAMS '18;2018;ACM;No;;;;;;;;;;
Reactive model transformation with ATL;Martínez S., Tisi M., Douence R.;Science of Computer Programming;2017;SCOPUS;N;;;;;;;;;;
Real-Time Agility: The Harmony/ESW Method for Real-Time and Embedded Systems Development, 1st edition;Bruce Powel Douglass;Real-Time Agility: The Harmony/ESW Method for Real-Time and Embedded Systems Development, 1st edition;2009  ;ACM;;;;;;;;X;;;
Real-time capable data management architecture for database-driven 3D simulation systems;Jürgen Roßmann, Michael Schluse, Ralf Waspe, Martin Hoppen;DEXA'11: Proceedings of the 22nd international conference on Database and expert systems applications - Volume Part I;2011  ;ACM;O;O;O;;;;;;;;
Real-time Fiber-level Cloth Rendering;Kui  Wu and Cem  Yuksel;I3D '17;2017;ACM;NO;;;;;;;;;;
Real-Time Joint Axes Estimation of the Hip and Knee Joint During Gait Using Inertial Sensors;"Markus  Norden and Philipp  M&#252;ller and Thomas  Schauer";iWOAR '18;2018;ACM;NO;;;;;;;;;;
Real-time placement of a wheelchair-mounted robotic arm;P. Abolghasemi R. Rahmatizadeh A. Behal L. BÃ¶lÃ¶ni;2016 25th IEEE International Symposium on Robot and Human Interactive Communication (RO-MAN);2016;IEEE;o;o;;;;;;;x;;
Real-time Planning for Automated Multi-view Drone Cinematography;"Tobias  N&#228;geli and Lukas  Meier and Alexander  Domahidi and Javier  Alonso-Mora and Otmar  Hilliges";;2017;ACM;NO;;;;;;;;;;
Real-time Power-splitting with Relay Selection Scheme for Wireless Multi-terminal DF-UWB Relay Network;Williams-Paul  Nwadiugwu and Igboanusi Ikechi Saviour and Dong-Seong  Kim;PE-WASUN'18;2018;ACM;No;;;;;;;;;;
Real-Time Prediction of Intermediate-Horizon Automotive Collision Risk;Blake  Wulfe and Sunil  Chintakindi and Sou-Cheng T. Choi and Rory  Hartong-Redden and Anuradha  Kodali and Mykel J. Kochenderfer;AAMAS '18;2018;ACM;No;;;;;;;;;;
Real-time spatio-temporal analysis of dynamic scenes;"Warden T;Visser U;";Knowledge and Information Systems;2012;WOS;O;O;O;;;;;;;;
Real-Time Spatio-Temporal Analysis of Dynamic Scenes in 3D Soccer Simulation;Tobias Warden, Andreas D. Lattner, Ubbo Visser;RoboCup 2008: Robot Soccer World Cup XII;2009  ;ACM;O;O;O;;;;;;;;
Reciprocity-driven Sparse Network Formation;Konstantinos P. Tsoukatos;VALUETOOLS 2017;2017;ACM;No;;;;;;;;;;
Recognizing Plans by Learning Embeddings from Observed Action Distributions;Yantian  Zha and Yikang  Li and Sriram  Gopalakrishnan and Baoxin  Li and Subbarao  Kambhampati;AAMAS '18;2018;ACM;NO;;;;;;;;;;
Reducing the number of simulations in operation strategy optimization for hybrid electric vehicles;Bacher C., Krenek T., Raidl G.R.;Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics);2014;Scopus;O;O;O;;;;;;;;
Refactoring Architecture Models for Compliance with Custom Requirements;Ta'id  Holmes and Uwe  Zdun;MODELS '18;2018;ACM;No;;;;;;;;;;
Refinement-Based Modelling and Verification of, Design Patterns for, Self-adaptive Systems;Göthel T., Jähnig N., Seif S.;Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics);2017;SCOPUS;N;;;;;;;;;;
Refining Network Intents for Self-Driving Networks;"Arthur Selle Jacobs and Ricardo Jos&#233; Pfitscher and Ronaldo Alves Ferreira and Lisandro Zambenedetti Granville";SelfDN 2018;2018;ACM;No;;;;;;;;;;
Reflection Companion: A Conversational System for Engaging Users in Reflection on Physical Activity;Rafal  Kocielnik and Lillian  Xiao and Daniel  Avrahami and Gary  Hsieh;;2018;ACM;NO;;;;;;;;;;
Reflective Informatics Through Family Storytelling: Self-discovering Physical Activity Predictors;Herman  Saksono and Andrea G. Parker;CHI '17;2017;ACM;No;;;;;;;;;;
Reflexive and evolutional digital service ecosystems with models at runtime;Abeywickrama D.B., Ovaska E.;CEUR Workshop Proceedings;2017;SCOPUS;N;;;;;;;;;;
Regulated Open Multi-Agent Systems (ROMAS): A Multi-Agent Approach for Designing Normative Open Systems;Emilia Garcia, Adriana Giret, Vicente Botti;Regulated Open Multi-Agent Systems (ROMAS): A Multi-Agent Approach for Designing Normative Open Systems;2014  ;ACM;;;;;;;;X;;;
Reinforcement Learning Techniques for Optimized Channel Hopping in IEEE 802.15.4-TSCH Networks;"Hiba  Dakdouk and Erika  Tarazona and Reda  Alami and Rapha&#235;l  F&#233;raud and Georgios Z. Papadopoulos and Patrick  Maill&#233;";MSWIM '18;2018;ACM;No;;;;;;;;;;
Related Event Discovery;Cheng  Li and Michael  Bendersky and Vijay  Garg and Sujith  Ravi;WSDM '17;2017;ACM;NO;;;;;;;;;;
Reliability estimation for time-dependent problems using a niching genetic algorithm;Li J., Mourelatos Z.P.;2007 Proceedings of the ASME International Design Engineering Technical Conferences and Computers and Information in Engineering Conference, DETC2007;2008;Scopus;O;O;O;;;;;;;;
ReMoDD eclipse plug-in: Collaborative modeling using a model repository;Al-Refai M., Jacobson A., Ghosh S., Bieman J.M., Cheng B.H.C.;CEUR Workshop Proceedings;2017;SCOPUS;N;;;;;;;;;;
Remote control of open groups of remote sensors;Sapaty P.;Proceedings of SPIE - The International Society for Optical Engineering;2009;Scopus;O;O;O;;;;;;;;
Remote robotic assembly guided by 3D models linking to a real robot ;"Wang, Lihui; Mohammed, Abdullah & Onori, Mauro";\{CIRP\} Annals - Manufacturing Technology ;2014;ScienceDirect;O;O;O;;;;;;;;
Remotion: A Motion-Based Capture and Replay Platform of Mobile Device Interaction for Remote Usability Testing;Jing  Qian and Arielle  Chapin and Alexandra  Papoutsaki and Fumeng  Yang and Klaas  Nelissen and Jeff  Huang;;2018;ACM;No;;;;;;;;;;
Renoprotective effects of the crude extract and solvent fractions of the leaves of Euclea divinorum Hierns against gentamicin-induced nephrotoxicity in rats ;"Feyissa, Tadiwos; Asres, Kaleab & Engidawork, Ephrem";Journal of Ethnopharmacology ;2013;ScienceDirect;;;;;;;;;X;;
Report on the 4th International Workshop on Model-driven Robot Software Engineering (MORSE);"Sebastian  G&#246;tz and Christian  Piechnick and Andreas  Wortmann";;2018;ACM;No;;;;;;;;;;
REPSYS: A Robust and Distributed Reputation System for Delay-Tolerant Networks;Naercio  Magaia and Paulo  Pereira and Miguel  Correia;MSWiM '17;2017;ACM;No;;;;;;;;;;
Repurposing Manufacturing Lines on the Fly with Multi-agent Systems for the Web of Things;Andrei  Ciortea and Simon  Mayer and Florian  Michahelles;AAMAS '18;2018;ACM;No;;;;;;;;;;
Requirements and Assessment of Languages and Frameworks for Adaptation Models;Vogel, Thomas and Giese, Holger;Proceedings of the 2011th International Conference on Models in Software Engineering;2012;ACM;O;O;O;;;;;;;;
Requirements development and management of embedded real-time systems;Jiale Zhou;Requirements Engineering Conference (RE), 2014 IEEE 22nd International;2014;IEEE ;O;O;O;;;;;;;;
Researc and Simulation Analysis of Prediction Control for UAV Collision Avoidance;Mao  Houchen and Gao  Wengmin and Zhao  Guhao and Gan  Xusheng;AIACT '17;2017;ACM;No;;;;;;;;;;
Research Driven: Sibly and the Transformation of Mental Health and Wellness;Paula  Wilbourne and Geralyn  Dexter and David  Shoup;PervasiveHealth '18;2018;ACM;No;;;;;;;;;;
Research of component based development techniques in the armament engagement simulation visualization system;"Zhang Bo; Kang Feng-Ju; Yan Jin-Tun";Audio Language and Image Processing (ICALIP), 2010 International Conference on;2010;IEEE ;O;O;O;;;;;;;;
Research on driving force optimal distribution and fuzzy decision control system for a dual-motor electric vehicle;W. Da W. Bo;2015 34th Chinese Control Conference (CCC);2015;IEEE;o;o;;;;;;;x;;
Research on e-Commerce Logistics Warehousing Mode Under the New Retail;Zehao  Zhang and Xianliang  Shi and Miao  Xing;IMMS '18;2018;ACM;NO;;;;;;;;;;
Research on Modeling and Control of Regenerative Braking for Brushless DC Machines Driven Electric Vehicles;"Wen, Jian-ping; Zhang, Chuan-wei";J;2015;WOS;O;O;;;;;;;X;;
Research on Operation and Maintenance Strategy of Power Distribution System Based on Comprehensive Risk Assessment;Yang  Fengsheng and Cai  Guanglin and Wang  Linbo;ICMSR '18;2018;ACM;NO;;;;;;;;;;
Research on real-time software development approach;Qiu W., Zhang L.-C.;Journal of Software;2012;Scopus;o;o;o;;;;;;;;
Research on Road Semantic Segmentation Based on Hybrid Auto-encoder;Ting  Rui and Fei  Zhou and Fukai  Zhang and Dong  Wang and Chengsong  Yang;ICIMCS '18;2018;ACM;NO;;;;;;;;;;
Research on safety evaluation model for in-vehicle secondary task driving;"Jin, Lisheng; Xian, Huacai; Niu, Qingning; Bie, Jing";J;2015;WOS;O;O;;;;;;;X;;
Research on Unmanned Ship Simulation on the Basis of Unity3D;Shuo  Wang and Jie  Yang and Rong  Hu and Zhang  Qingnian;ICCCV '18;2018;ACM;No;;;;;;;;;;
Research reform on real-time operating system based on Linux;"Chen Yi-Min; Chen Yang-Bin";Intelligent Control and Automation, 2004. WCICA 2004. Fifth World Congress on;2004;IEEE ;O;O;O;;;;;;;;
Resilience, Survivability, and Heterogeneity in the Postmodern Internet;Sterbenz, James P. G.;{Proceedings of the 4th International Conference on Future Internet Technologies;2009;ACM;O;O;O;;;O;;;;;
Resilient Linear Classification: An Approach to Deal with Attacks on Training Data;Sangdon  Park and James  Weimer and Insup  Lee;ICCPS '17;2017;ACM;No;;;;;;;;;;
Resolving platform specific models at runtime using an MDE-based trading approach;Criado J., Iribarne L., Padilla N.;Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics);2013;Scopus;O;O;O;;;;;;;;
Rethinking the Use of Models in Software Architecture;Danilo Ardagna, Carlo Ghezzi, Raffaela Mirandola;QoSA '08: Proceedings of the 4th International Conference on Quality of Software-Architectures: Models and Architectures;2008  ;ACM;O;O;O;;;;;;;;
Return on Software: Maximizing the Return on Your Software Investment, 1st edition;Steve Tockey;Return on Software: Maximizing the Return on Your Software Investment, 1st edition;2008  ;ACM;;;;;;;;X;;;
Reusable hybrid force-velocity controlled motion specifications with executable Domain Specific Languages;"Klotzbucher, M.; Smits, R.; Bruyninckx, H.; De Schutter, J.";Intelligent Robots and Systems (IROS), 2011 IEEE/RSJ International Conference on;2011;IEEE ;O;O;O;;;;;;;;
Reusing Models of Actors and Services in Smart Homecare to Improve Sustainability;"Walderhaug S;Stav E;Mikalsen M;";Ehealth Beyond the Horizon - Get It There;2008;WOS;;;;;;O;;;;;
ReVeaLD: A user-driven domain-specific interactive search platform for biomedical research;Kamdar M.R., Zeginis D., Hasnain A., Decker S., Deus H.F.;Journal of Biomedical Informatics;2014;Scopus;O;O;O;;;;;;X;;
Reverse Engineering Product Lines in Agile Environments: Lesson Learned and Challenges;Jane  Cleland-Huang;SPLC '17;2017;ACM;NO;;;;;;;;;;
Review: A Web-based Simulation Viewer for Sharing Evolutionary Robotics Results;Anthony J. Clark and Jared M. Moore;GECCO '18;2018;ACM;NO;;;;;;;;;;
RF-ECG: Heart Rate Variability Assessment Based on COTS RFID Tag Array;Chuyu  Wang and Lei  Xie and Wei  Wang and Yingying  Chen and Yanling  Bu and Sanglu  Lu;;2018;ACM;NO;;;;;;;;;;
Rhocop: receding horizon multi-robot coverage;SN Das, I Saha ;;;ACM;;;;;;;;;;;
Riding the Waves of Augmented Reality in Preservice EFL Teacher Education: Model Development;Shuxia  Yang;ICIET '18;2018;ACM;No;;;;;;;;;;
Risk Management for High Tech Systems;Marielle  Stoelinga;FormaliSE '18;2018;ACM;NO;;;;;;;;;;
Road Asset Detection Model Using Smartphones: A Deployment Analysis;Dana  Pordel and Lars  Petersson;ICDSC 2017;2017;ACM;No;;;;;;;;;;
Road sides recognition in non-structured environments by vision;"Aufrere, R.; Marion, V.; Laneurit, J.; Lewandowski, C.; Morillon, J.; Chapuis, R.";Intelligent Vehicles Symposium, 2004 IEEE;2004;IEEE ;O;O;O;;;;;;;;
Robot assembly trajectory generation using form feature driven robot process model;"Horvath, L.; Rudas, I.J.; Tar, J.K.";Industrial Electronics, 2003. ISIE '03. 2003 IEEE International Symposium on;2003;IEEE ;O;O;O;;;;;;;;
Robot Classification of Human Interruptibility and a Study of Its Effects;Siddhartha  Banerjee and Andrew  Silva and Sonia  Chernova;;2018;ACM;NO;;;;;;;;;;
Robot Navigation of Environments with Unknown Rough Terrain Using deep Reinforcement Learning;"K. Zhang; F. Niroui; M. Ficocelli; G. Nejat";2018 IEEE International Symposium on Safety, Security, and Rescue Robotics (SSRR);2018;IEEE;NO;;;;;;;;;;
Robot Program Construction via Grounded Natural Language Semantics & Simulation;Mihai  Pomarlan and John  Bateman;AAMAS '18;2018;ACM;Yes;;;;;;;;;;
Robot's Delight: A Lyrical Exposition on Learning by Imitation from Human-human Interaction;Dylan F. Glas and Malcolm  Doering and Phoebe  Liu and Takayuki  Kanda and Hiroshi  Ishiguro;HRI '17;2017;ACM;No;;;;;;;;;;
Robotic assembly and maintenance of future space stations based on the \ISS\ mission operations experience ;Rembala, Richard & Ower, Cameron;Acta Astronautica ;2009;ScienceDirect;O;O;O;;;;;;;;
Robotic Engineer's Specifications for a Well-Fitted Model-Driven Control Architecture for Robots;Molin{\'e}, \'{E}ric and Morette, Nicolas and Novales, Cyril and Vieyres, Pierre;Proceedings of the 4th International Conference on Simulation, Modeling, and Programming for Autonomous Robots - Volume 8810;2014;ACM;o;o;o;;;;;;;;
Robotic software systems: From code-driven to model-driven designs;"Schlegel, C.; Hassler, T.; Lotz, A.; Steck, A.";Advanced Robotics, 2009. ICAR 2009. International Conference on;2009;IEEE ;;;;;;;;;;;YES
RobotML for industrial robots: Design and simulation of manipulation scenarios;Kchir S., Dhouib S., Tatibouet J., Gradoussoff B., Da Silva Simoes M;C;2016;SCOPUS;-;-;x;x;x;x;-;-;-;-;
Robots and their Variability -- A Societal Challenge and a Potential Solution;T. Buchmann J. Baumgartl D. Henrich B. Westfechtel;2015 IEEE/ACM 5th International Workshop on Product Line Approaches in Software Engineering;2015;IEEE;o;o;;;;;;;x;;
RobotUI - A software architecture for modular robotics user interface frameworks;"Poppa, F.; Zimmer, U.";Intelligent Robots and Systems (IROS), 2012 IEEE/RSJ International Conference on;2012;IEEE ;O;O;O;;;;;;;;
RoboX: An End-to-End Solution to Accelerate Autonomous Control in Robotics;"J. Sacks; D. Mahajan; R. C. Lawson; H. Esmaeilzadeh";2018 ACM/IEEE 45th Annual International Symposium on Computer Architecture (ISCA);2018;IEEE;NO;;;;;;;;;;
Robust and Efficient Capacity Estimation Using Data-Driven Metamodel Applicable to Battery Management System of Electric Vehicles;"Sung, Woosuk; Hwang, Do Sung; Nam, Jiwon; Choi, Joo-Ho; Lee, Jaewook";J;2016;WOS;O;O;;;;;;;x;;
Robust Class Similarity Measure for Traffic Sign Recognition;"Ruta, A.; Yongmin Li; Xiaohui Liu";Intelligent Transportation Systems, IEEE Transactions on;2010;IEEE ;O;O;O;;;;;;;;
Robust control of 3-DOF parallel robot driven by PMAs based on nominal stiffness model;"Liu, Kai; Xu, Jiaqi; Ge, Zhishang; Wang, Yangwei; Zhao, Dongbiao; Lu, Yonghua";ADVANCED ROBOTICS;2017;WOS;N;;;;;;;;;;
Robust design optimization of a tracked vehicle system;Kim M.-S., Choi J., Lee S.-G., Song I.-H., Yoon J.-S., Baek S.;2007 Proceedings of the ASME International Design Engineering Technical Conferences and Computers and Information in Engineering Conference, DETC2007;2008;Scopus;O;O;O;;;;;;;;
Robust pictorial structures for X-ray animal skeleton tracking;Amthor M., Haase D., Denzler J.;VISAPP 2014 - Proceedings of the 9th International Conference on Computer Vision Theory and Applications;2014;Scopus;O;O;O;;;;;;;;
Robust real-time horizon detection in full-motion video;Young G.B., Bagnall B., Lane C., Parameswaran S.;Proceedings of SPIE - The International Society for Optical Engineering;2014;Scopus;O;O;O;;;;;;;;
Robust Spatiotemporal Analysis of Architectural Imagery;Korah, Thommen;University of Delaware;2007;ACM;O;O;O;;;;;;;;
Robust state estimation for Micro Aerial Vehicles based on system dynamics;M. Burri M. DÃ¤twiler M. W. Achtelik R. Siegwart;2015 IEEE International Conference on Robotics and Automation (ICRA);2015;IEEE;o;o;;;;;;;;;
Robust trajectory optimization of space launch vehicle using computational intelligence;A. A. Bataleblu J. Roshanian;2015 IEEE Congress on Evolutionary Computation (CEC);2015;IEEE;o;o;;;;;;;x;;
Robust tube-MPC Based Lane Keeping System for Autonomous Driving Vehicles;Karthik Murali Madhavan Rathai and Jegan  Amirthalingam and Balaji  Jayaraman;AIR '17;2017;ACM;No;;;;;;;;;;
Robust vanishing point estimation for driver assistance;"Suttorp, T.; Bucher, T.";Intelligent Transportation Systems Conference, 2006. ITSC '06. IEEE;2006;IEEE ;O;O;O;;;;;;;;
ROPSIM, A \ROBOT\ OFF-LINE \PROGRAMMING\ \AND\ REAL-TIME \SIMULATION\ \SYSTEM\ \INCLUDING\ \DYNAMICS\ ;"Trostmann, E.; Conrad, F.; Nielsen, L.F. & Trostmann, S.";;1992;ScienceDirect;;;;;;;;;;X;
ROS engineering workbench based on semantically enriched app models for improved reusability;R. Awad G. Heppner A. Roennau M. Bordignon;2016 IEEE 21st International Conference on Emerging Technologies and Factory Automation (ETFA);2016;IEEE;o;o;;;;;;;x;;
ROSMOD: A toolsuite for modeling, generating, deploying, and managing distributed real-time component-based software using ROS;Kumar P.S., Emfinger W., Karsai G., Watkins D., Gasser B., Anilkumar A.;J;2016;SCOPUS;-;;;;x;x;;;;;
ROSMOD: a toolsuite for modeling, generating, deploying, and managing distributed real-time component-based software using ROS;Pranav Srinivas Kumar 1,†,‡,* , William Emfinger 1,‡, Gabor Karsai 1,‡OrcID, Dexter Watkins 2,‡, Benjamin Gasser 2,‡ and Amrutur Anilkumar 2,‡;Rapid System Prototyping (RSP), 2015 International Symposium on;2016;IEEE;X;X;X;X;X;X;O;O;O;O;YES
RT-component based integration for IEC61508 ready system using SysML and IEC61499 function blocks;"Hanai, R.; Saito, H.; Nakabo, Y.; Fujiwara, K.; Ogure, T.; Mizuguchi, D.; Homma, K.; Ohba, K.";System Integration (SII), 2012 IEEE/SICE International Symposium on;2012;IEEE ;O;O;O;;;;;;;;
Rule-Based Generation of Mobile User Interfaces;"Schuler, A.; Franz, B.";Information Technology: New Generations (ITNG), 2013 Tenth International Conference on;2013;IEEE ;O;O;O;;;;;;;;
Run-time adaptation of a universal user interface for ambient intelligent production environments;Breiner K., Gorlich D., Maschino O., Meixner G., Zuhlke D.;Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics);2009;Scopus;O;O;O;;;;;;;;
Run-time Component Allocation in CPU-GPU Embedded Systems;Gabriel  Campeanu and Mehrdad  Saadatmand;SAC '17;2017;ACM;NO;;;;;;;;;;
Run-time model evaluation for requirements model-driven self-adaptation;"Welsh, K.; Bencomo, N.";Requirements Engineering Conference (RE), 2012 20th IEEE International;2012;IEEE ;O;O;O;;;;;;;;
Runtime Analysis for Self-adaptive Mutation Rates;Benjamin  Doerr and Carsten  Witt and Jing  Yang;GECCO '18;2018;ACM;No;;;;;;;;;;
Runtime failure detection;Jochen Wuttke;ICSE Companion '08: Companion of the 30th international conference on Software engineering;2008  ;ACM;O;O;O;;;;;;;;
Runtime Monitoring and Resolution of Probabilistic Obstacles to System Goals;Antoine  Cailliau and Axel  van Lamsweerde;SEAMS '17;2017;ACM;NO;;;;;;;;;;
Runtime Monitoring for Safety of Intelligent Vehicles;Kosuke  Watanabe and Eunsuk  Kang and Chung-Wei  Lin and Shinichi  Shiraishi;DAC '18;2018;ACM;No;;;;;;;;;;
Runtime Verification Method for Self-adaptive Software Using Reachability of Transition System Model;Euijong  Lee and Young-Gab  Kim and Young-Duk  Seo and Kwangsoo  Seol and Doo-Kwon  Baik;SAC '17;2017;ACM;No;;;;;;;;;;
Runtime Verification of Robots Collision Avoidance Case Study;C Luo, R Wang, Y Jiang, K Yang;;;ACM;;;;;;;;;;;
S/He's Too Warm/Agentic!: The Influence of Gender on Uncanny Reactions to Robots;Jahna  Otterbacher and Michael  Talias;HRI '17;2017;ACM;No;;;;;;;;;;
Safe adaptation of vehicle software systems;Hussein M., Nouacer R., Radermacher A.;Microprocessors and Microsystems;2017;SCOPUS;N;;;;;;;;;;
Safe Event-Driven Programming: Methodology, Language, and Tools;P Deligiannis, A Desai, A Lal, S Qadeer;;;ACM;;;;;;;;;;;
SafeRobots: A model-driven Framework for developing Robotic Systems;"Ramaswamy, A.; Monsuez, B.; Tapus, A.";Intelligent Robots and Systems (IROS 2014), 2014 IEEE/RSJ International Conference on;2014;IEEE ;X;X;X;X;X;X;O;O;O;O;YES
SafeSlice: a model slicing and design safety inspection tool for SysML;Davide Falessi, Shiva Nejati, Mehrdad Sabetzadeh, Lionel Briand, Antonio Messina;ESEC/FSE '11: Proceedings of the 19th ACM SIGSOFT symposium and the 13th European conference on Foundations of software engineering;2011  ;ACM;O;O;O;;;;;;;;
Safety Computer Vision Rules for Improved Sensor Certification;"J. T. M. Ingibergsson; D. Kraft; U. P. Schultz";2017 First IEEE International Conference on Robotic Computing (IRC);2017;IEEE;NO;;;;;;;;;;
Safety-Assured Model-Driven Design of the Multifunction Vehicle Bus Controller;"Y. Jiang; H. Liu; H. Song; H. Kong; R. Wang; Y. Guan; L. Sha";IEEE Transactions on Intelligent Transportation Systems;2018;IEEE;NO;;;;;;;;;;
Safety, speed, and style: interaction design of an in-vehicle user interface;Larry Constantine, Helmut Windl;CHI EA '09: CHI '09 Extended Abstracts on Human Factors in Computing Systems;2009  ;ACM;O;O;O;;;;;;;;
Sampling-based Approximate Optimal Control Under Temporal Logic Constraints;Jie  Fu and Ivan  Papusha and Ufuk  Topcu;HSCC '17;2017;ACM;NO;;;;;;;;;;
Sampling-based Control Synthesis for Multi-robot Systems Under Global Temporal Specifications;Yiannis  Kantaros and Michael M. Zavlanos;ICCPS '17;2017;ACM;NO;;;;;;;;;;
SAMProc: Middleware for Self-adaptive Mobile Processes in Heterogeneous Ubiquitous Environments;Schmidt, Holger and Hauck, Franz J.;Proceedings of the 4th on Middleware Doctoral Symposium;2007;ACM;O;O;O;;;;;;;;
SARA: Security Automotive Risk Analysis Method;Jean-Philippe  Monteuuis and Aymen  Boudguiga and Jun  Zhang and Houda  Labiod and Alain  Servel and Pascal  Urien;CPSS '18;2018;ACM;NO;;;;;;;;;;
Satisfaction, Practices, and Influences in Agile Software Development;Martin  Kropp and Andreas  Meier and Craig  Anslow and Robert  Biddle;EASE'18;2018;ACM;NO;;;;;;;;;;
Satisfying multiple rated-constraints in a knowledge based decision aid;"Benjamin, M.; Viana, T.; Corbett, K.; Silva, A.";Artificial Intelligence for Applications, 1993. Proceedings., Ninth Conference on;1993;IEEE ;;;;;;;;;;X;
Scalable synthesis of Cu2S double-superlattice nanoparticle systems with enhanced UV/visible-light-driven photocatalytic activity ;"Cao, Qi; Che, Renchao & Chen, Nan";Applied Catalysis B: Environmental ;2015;ScienceDirect;;;;;;;;;X;;
Scalable Task and Motion Planning for Multi-Robot Systems in Obstacle-Rich Environments;"Wolfgang  H&#246;nig";AAMAS '18;2018;ACM;No;;;;;;;;;;
Scene analysis under closed world assumption;Hassan, N.;Computer Theory and Applications (ICCTA), 2012 22nd International Conference on;2012;IEEE ;O;O;O;;;;;;;;
Scene Recognition for Complicated UAV Images Based on Land Surface Classification of Superpixel;Yang  Shi and Hongguang  Li and Wenrui  Ding and Shuo  Liu;AIACT '17;2017;ACM;NO;;;;;;;;;;
Schedulability analysis of on-board satellite software based on model-driven and compositionality techniques;"Fernandez, J.; Parra, P.; Nilas, B.; Garcia, I.; Sanchez, S.; Polo, O.R.";Industrial Embedded Systems (SIES), 2013 8th IEEE International Symposium on;2013;IEEE ;O;O;O;;;;;;;;
Scheduling CPU for GPU-based Deep Learning Jobs;Wencong  Xiao and Zhenhua  Han and Hanyu  Zhao and Xuan  Peng and Quanlu  Zhang and Fan  Yang and Lidong  Zhou;SoCC '18;2018;ACM;NO;;;;;;;;;;
Scheduling of Drone-based Material Transfer System in Semiconductor Manufacturing;Andy  Ham and DJ  Kim;WSC '17;2017;ACM;No;;;;;;;;;;
SCNN: An Accelerator for Compressed-sparse Convolutional Neural Networks;Angshuman  Parashar and Minsoo  Rhu and Anurag  Mukkara and Antonio  Puglielli and Rangharajan  Venkatesan and Brucek  Khailany and Joel  Emer and Stephen W. Keckler and William J. Dally;;2017;ACM;NO;;;;;;;;;;
Scratch Memories: A Visualization Tool for Children to Celebrate and Reflect on Their Creative Trajectories;Shruti  Dhariwal;IDC '18;2018;ACM;No;;;;;;;;;;
Scribble Your Way Through Traffic;Felix  Ros and Jacques  Terken and Frank  van Valkenhoef and Zane  Amiralis and Stefan  Beckmann;AutomotiveUI '18;2018;ACM;NO;;;;;;;;;;
sDDS: A portable data distribution service implementation for WSN and IoT platforms;K. Beckmann O. Dedi;2015 12th International Workshop on Intelligent Solutions in Embedded Systems (WISES);2015;IEEE;o;o;;;;;;;x;;
Search Engine Drives the Evolution of Social Networks;Cai  Fu and Chenchen  Peng and Xiao-Yang  Liu;ACM TUR-C '17;2017;ACM;NO;;;;;;;;;;
Searching for objects: Combining multiple cues to object locations using a maximum entropy model;"Joho, D.; Burgard, W.";Robotics and Automation (ICRA), 2010 IEEE International Conference on;2010;IEEE ;O;O;O;;;;;;;;
Secure Autonomous Cyber-Physical Systems Through Verifiable Information Flow Control;Jed  Liu and Joe  Corbett-Davies and Andrew  Ferraiuolo and Alexander  Ivanov and Mulong  Luo and G. Edward Suh and Andrew C. Myers and Mark  Campbell;CPS-SPC '18;2018;ACM;No;;;;;;;;;;
Secure Information Sharing Among Autonomous Vehicles in NDN;Muktadir  Chowdhury and Ashlesh  Gawande and Lan  Wang;IoTDI '17;2017;ACM;No;;;;;;;;;;
Secure Management of Autonomous Vehicle Platooning;"F&#225;bio  Gon&#231;alves and Bruno  Ribeiro and Vadym  Hapanchak and Sara  Barros and Oscar  Gama and Paulo  Ara&#250;jo and Maria Jo&#227;o  Nicolau and Bruno  Dias and Joaquim  Macedo and Ant&#243;nio  Costa and Alexandre  Santos";Q2SWinet'18;2018;ACM;No;;;;;;;;;;
Secure routing protocol design for UAV Ad hoc NETworks;J. A. Maxa M. S. Ben Mahmoud N. Larrieu;2015 IEEE/AIAA 34th Digital Avionics Systems Conference (DASC);2015;IEEE;o;o;;;;;;;;;
Securing Data Transfer in IoT Employing an Integrated Approach of Cryptography & Steganography;Ria  Das and Punyasha  Chatterjee;HP3C-2017;2017;ACM;NO;;;;;;;;;;
Securing Maritime Traffic Management;"D. P. F. M√∂ller; I. A. Jehle; J. Froese; A. Deutschmann; T. Koch";2018 IEEE International Conference on Electro/Information Technology (EIT);2018;IEEE;NO;;;;;;;;;;
Security Aspects of Neuromorphic MPSoCs;Johanna  Sepulveda and Cezar  Reinbrecht and Jean-Philippe  Diguet;ICCAD '18;2018;ACM;NO;;;;;;;;;;
Security of Cyber-Physical Systems in the Presence of Transient Sensor Faults;Junkil  Park and Radoslav  Ivanov and James  Weimer and Miroslav  Pajic and Sang Hyuk Son and Insup  Lee;;2017;ACM;NO;;;;;;;;;;
